Ticker,Name,Exchange,Category,Country,SE_Name
CTP.AX,Central Petroleum Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
CSL.AX,CSL Limited,ASX,Biotechnology,Australia,Australia Stock Exchange
CDD.AX,Cardno Limited,ASX,General Contractors,Australia,Australia Stock Exchange
BTT.AX,BT Investment Management Limited,ASX,Other Category,Australia,Australia Stock Exchange
BSE.AX,Base Resources Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
BPT.AX,Beach Energy Limited,ASX,Other Category,Australia,Australia Stock Exchange
BOL.AX,Boom Logistics Limited,ASX,Industrial Equipment Wholesale,Australia,Australia Stock Exchange
BLY.AX,Boart Longyear Limited,ASX,Oil & Gas Equipment & Services,Australia,Australia Stock Exchange
BKW.AX,Brickworks Limited,ASX,General Building Materials,Australia,Australia Stock Exchange
BKN.AX,Bradken Limited,ASX,Other Category,Australia,Australia Stock Exchange
BKL.AX,Blackmores Limited,ASX,Personal Products,Australia,Australia Stock Exchange
BFG.AX,Bell Financial Group Limited,ASX,Investment Brokerage - National,Australia,Australia Stock Exchange
ASZ.AX,ASG Group Limited,ASX,Other Category,Australia,Australia Stock Exchange
KKL.AX,Kollakorn Corporation Limited,ASX,Security & Protection Services,Australia,Australia Stock Exchange
AMC.AX,Amcor Limited,ASX,Packaging & Containers,Australia,Australia Stock Exchange
ALU.AX,Altium Limited,ASX,Technical & System Software,Australia,Australia Stock Exchange
AJL.AX,AJ Lucas Group Limited,ASX,General Contractors,Australia,Australia Stock Exchange
AGI.AX,Ainsworth Game Technology Limited,ASX,Gaming Activities,Australia,Australia Stock Exchange
ABC.AX,Adelaide Brighton Limited,ASX,General Building Materials,Australia,Australia Stock Exchange
ZEU.AX,Zeus Resources Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
ZAM.AX,Zamanco Minerals Limited,ASX,Other Category,Australia,Australia Stock Exchange
YPB.AX,YPB Group Limited,ASX,Security & Protection Services,Australia,Australia Stock Exchange
YOW.AX,Yowie Group Ltd,ASX,Conglomerates,Australia,Australia Stock Exchange
YHL.AX,Yanghao International Limited,ASX,Textile Industrial,Australia,Australia Stock Exchange
VIA.AX,Viagold Capital Ltd.,ASX,Other Category,Australia,Australia Stock Exchange
MHI.AX,Merchant House International Limited,ASX,Textile - Apparel Footwear & Accessories,Australia,Australia Stock Exchange
FBU.AX,Fletcher Building Limited,ASX,General Building Materials,Australia,Australia Stock Exchange
MVP.AX,Medical Developments International Limited,ASX,Drug Manufacturers - Major,Australia,Australia Stock Exchange
HDX.AX,Hughes Drilling Limited,ASX,Other Category,Australia,Australia Stock Exchange
DXS.AX,Dexus,ASX,REIT - Diversified,Australia,Australia Stock Exchange
DWS.AX,DWS Limited,ASX,Information Technology Services,Australia,Australia Stock Exchange
DVN.AX,Devine Limited,ASX,Real Estate Development,Australia,Australia Stock Exchange
DVL.AX,dorsaVi Ltd,ASX,Medical Laboratories & Research,Australia,Australia Stock Exchange
DTM.AX,Dart Mining NL,ASX,Gold,Australia,Australia Stock Exchange
DRA.AX,Dragon Mining Limited,ASX,Gold,Australia,Australia Stock Exchange
DNA.AX,Donaco International Limited,ASX,Lodging,Australia,Australia Stock Exchange
DLX.AX,DuluxGroup Limited,ASX,General Building Materials,Australia,Australia Stock Exchange
DGX.AX,Diploma Group Limited,ASX,Other Category,Australia,Australia Stock Exchange
DGR.AX,DGR Global Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
DCN.AX,Dacian Gold Limited,ASX,Gold,Australia,Australia Stock Exchange
DCG.AX,Decmil Group Limited,ASX,General Contractors,Australia,Australia Stock Exchange
WDE.AX,Wealth Defender Equities Limited,ASX,Other Category,Australia,Australia Stock Exchange
TDL.AX,TBG Diagnostics Limited,ASX,Medical Laboratories & Research,Australia,Australia Stock Exchange
IDX.AX,Integral Diagnostics Limited,ASX,Medical Laboratories & Research,Australia,Australia Stock Exchange
ENE.AX,Energy Developments Ltd.,ASX,Other Category,Australia,Australia Stock Exchange
TWR.AX,Tower Limited,ASX,Property & Casualty Insurance,Australia,Australia Stock Exchange
TME.AX,Trade Me Group Limited,ASX,Internet Information Providers,Australia,Australia Stock Exchange
SKT.AX,SKY Network Television Limited,ASX,Other Category,Australia,Australia Stock Exchange
SKC.AX,SKYCITY Entertainment Group Limited,ASX,Resorts & Casinos,Australia,Australia Stock Exchange
KMD.AX,Kathmandu Holdings Limited,ASX,Apparel Stores,Australia,Australia Stock Exchange
VEI.AX,Vision Eye Institute Limited,ASX,Other Category,Australia,Australia Stock Exchange
SXE.AX,Southern Cross Electrical Engineering Limited,ASX,General Contractors,Australia,Australia Stock Exchange
SXA.AX,Strata-X Energy Ltd.,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
SER.AX,Strategic Energy Resources Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
SEH.AX,Sino Gas & Energy Holdings Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
RLE.AX,Real Energy Corporation Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
RCU.AX,Ante Real Estate Trust,ASX,Other Category,Australia,Australia Stock Exchange
QTM.AX,Quantum Energy Limited,ASX,Medical Appliances & Equipment,Australia,Australia Stock Exchange
POW.AX,Protean Energy Limited,ASX,Diversified Utilities,Australia,Australia Stock Exchange
PEN.AX,Peninsula Energy Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
PEA.AX,Pacific Energy Ltd.,ASX,Electric Utilities,Australia,Australia Stock Exchange
NZO.AX,New Zealand Oil & Gas Limited,ASX,Other Category,Australia,Australia Stock Exchange
MTN.AX,Leigh Creek Energy Limited,ASX,Other Category,Australia,Australia Stock Exchange
MCE.AX,Matrix Composites & Engineering Ltd,ASX,General Contractors,Australia,Australia Stock Exchange
IEM.AX,"iShares, Inc. - iShares MSCI Emerging Markets ETF",ASX,Other Category,Australia,Australia Stock Exchange
ICN.AX,Icon Energy Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
GEG.AX,Grays eCommerce Group Limited,ASX,Other Category,Australia,Australia Stock Exchange
FPH.AX,Fisher & Paykel Healthcare Corporation Limited,ASX,Medical Appliances & Equipment,Australia,Australia Stock Exchange
FET.AX,Folkestone Education Trust,ASX,REIT - Diversified,Australia,Australia Stock Exchange
EVN.AX,Evolution Mining Limited,ASX,Gold,Australia,Australia Stock Exchange
ERX.AX,Emperor Range Group Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
EPD.AX,Empired Limited,ASX,Information Technology Services,Australia,Australia Stock Exchange
ELM.AX,Kore Potash Limited,ASX,Other Category,Australia,Australia Stock Exchange
EGP.AX,The Star Entertainment Group Limited,ASX,Other Category,Australia,Australia Stock Exchange
EFE.AX,Eastern Iron Limited,ASX,Steel & Iron,Australia,Australia Stock Exchange
ECX.AX,Eclipx Group Limited,ASX,Rental & Leasing Services,Australia,Australia Stock Exchange
CUE.AX,Cue Energy Resources Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
CNX.AX,Carbon Energy Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
CNU.AX,Chorus Limited,ASX,Wireless Communications,Australia,Australia Stock Exchange
BKY.AX,Berkeley Energia Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
AJQ.AX,Armour Energy Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
AIA.AX,Auckland International Airport Limited,ASX,"Air Services, Other",Australia,Australia Stock Exchange
AEF.AX,Australian Ethical Investment Ltd,ASX,Asset Management,Australia,Australia Stock Exchange
AEE.AX,Aura Energy Limited,ASX,Industrial Metals & Minerals,Australia,Australia Stock Exchange
88E.AX,88 Energy Limited,ASX,Independent Oil & Gas,Australia,Australia Stock Exchange
XRO.AX,Xero Limited,ASX,Business Software & Services,Australia,Australia Stock Exchange
VGI.AX,Vista Group International Limited,ASX,Other Category,Australia,Australia Stock Exchange
SFH.AX,Specialty Fashion Group Limited,ASX,Apparel Stores,Australia,Australia Stock Exchange
RFG.AX,Retail Food Group Limited,ASX,Restaurants,Australia,Australia Stock Exchange
RFF.AX,Rural Funds Group,ASX,REIT - Diversified,Australia,Australia Stock Exchange
PGI.AX,PanTerra Gold Limited,ASX,Gold,Australia,Australia Stock Exchange
PGF.AX,PM Capital Global Opportunities Fund Limited,ASX,Other Category,Australia,Australia Stock Exchange
PFL.AX,Patties Foods Limited,ASX,Other Category,Australia,Australia Stock Exchange
JBH.AX,JB Hi-Fi Limited,ASX,"Specialty Retail, Other",Australia,Australia Stock Exchange
GFL.AX,Global Masters Fund Limited,ASX,Other Category,Australia,Australia Stock Exchange
FWD.AX,Fleetwood Corporation Limited,ASX,Recreational Vehicles,Australia,Australia Stock Exchange
FSA.AX,FSA Group Limited,ASX,Credit Services,Australia,Australia Stock Exchange
FNP.AX,Freedom Foods Group Limited,ASX,Food - Major Diversified,Australia,Australia Stock Exchange
FLT.AX,Flight Centre Travel Group Limited,ASX,"Recreational Goods, Other",Australia,Australia Stock Exchange
FLN.AX,Freelancer Limited,ASX,Business Services,Australia,Australia Stock Exchange
FFG.AX,Fatfish Internet Group Ltd,ASX,Asset Management,Australia,Australia Stock Exchange
FDC.AX,Vicinity Centres,ASX,Other Category,Australia,Australia Stock Exchange
FAN.AX,Fantastic Holdings Limited,ASX,Other Category,Australia,Australia Stock Exchange
AFJ.AX,AFJ.AX,ASX,Other Category,Australia,Australia Stock Exchange
TOX.AX,Tox Free Solutions Limited,ASX,Pollution & Treatment Controls,Australia,Australia Stock Exchange
