Ticker,Name,Exchange
^NQMEA8500LMAUDN,NASDAQ MEA Ins Large Mid Cap AU,NIM
^NQNA3000LMT,NASDAQ N America Cnsmr Goods Lg,NIM
^DWMFCGT,^DWMFCGT,DJI
^NQLA3500CADN,NASDAQ Lat America Food & Bever,NIM
^NQUSM2737AUDN,NQ US Md Cap Elec Eqpt AUD NTR,NIM
AW12.FGI,FTSE All World Index - Europe e,FGI
^NQASPA1300T,The NASDAQ ASPA Chemicals Index,NIM
^NQDMASPA3000EURN,NASDAQ DM ASPA Cnsmr Goods EUR,NIM
DK71.DE,IN.IS.MSCI JAP.CHF HD.YN,GER
SFA05D.SW,SBI For AAA-A 10-15 D,EBS
^NQAUSCAUDT,NASDAQ Australia Small Cap AUD,NIM
^BKCSW,BNY Mellon Sweden Classic ADR I,SNP
^NQMY1000AUDN,NASDAQ Malaysia Basic Matls AUD,NIM
^NQASIA0001LMAUDN,NASDAQ Asia Oil & Gas Large Mid,NIM
5EDJ.DE,IN.IS.MSCI POLAND USD,GER
^BKFRT,BNY Mellon France ADR Total Ret,SNP
^NQHUAUDN,NASDAQ Hungary AUD NTR Index,NIM
^NQLA8600LMCADN,NASDAQ Lat Am Real Estate Lg Md,NIM
^NQEMASIASCEURT,NASDAQ EM Asia Small Cap EUR TR,NIM
^NQHK5000AUD,NASDAQ Hong Kong Cnsmr Svcs AUD,NIM
^NQDMASPASCAUDN,NASDAQ DM ASPA Small Cap AUD NT,NIM
^NQUSB8530AUDT,NQ US Bnchmk Nonlife Ins AUD TR,NIM
^NQASPAXJPJPYN,NASDAQ ASPA Ex Japan JPY NTR In,NIM
N8WZ.DE,DAXGLOBAL ASIA PR.GBP,GER
4MU3.DE,INAVISEUCORBDLCUCHF,GER
^NQASPA5300LMJPYN,NASDAQ ASPA Retail Large Mid Ca,NIM
^INDIA15,India Total Return ADR/GDR 15 I,SNP
D4OF.DE,INAVISHEUGBD1-3YRGB,GER
^NQAU5000CADT,NASDAQ Australia Cnsmr Svcs CAD,NIM
^NQIN8000AUDT,NASDAQ India Financials AUD TR,NIM
^BCOMAL3,BBG Alumin-F3,WCB
SAN71Y.SW,SBI Dom Non-Gov AAA-AA 7-10 Y,EBS
STA05P.SW,SBI AAA-A 10-15 P,EBS
^A1SUSETR,Dow Jones Sustainability North,DJI
^NQAU9000N,The NASDAQ Australia Technology,NIM
^NQNA2300N,The NASDAQ North America Constr,NIM
^NQEMMEA4000AUDN,NASDAQ EM MEA Health Care AUD N,NIM
^NQASPA3000AUDT,NASDAQ ASPA Cnsmr Goods AUD TR,NIM
^NQZASCZARN,NASDAQ South Africa Small Cap Z,NIM
^NQDMASPA7000N,The NASDAQ DM ASPA Utilities In,NIM
SAA10Y.SW,SBI AAA-AA 10+ Y,EBS
^NQUSM2000AUD,NQ US Md Cap Inds AUD Index,NIM
SBIGD7.SW,SBI Dom Gov 7+ D,EBS
^NQNA8000EURN,NASDAQ N America Financials EUR,NIM
^NQDMASIA8600LMT,NASDAQ DM Asia Real Estate Larg,NIM
SBIGT1.SW,SBI Dom Gov 1-3 T,EBS
^NQHK3000AUDN,NASDAQ Hong Kong Cnsmr Goods AU,NIM
2742.DE,INAVISIBSE18USDCGBP,GER
^BKCPTTR,BNY Mellon Portugal Classic ADR,SNP
UDYQ.DE,UDYQ.DE,GER
4NAN.DE,DAXSUP ALL UTIL P,GER
^NQCHLCAUD,NASDAQ Switzerland Large Cap AU,NIM
^DWAPFN,Dow Jones Asia/Pacific Financia,DJI
3BSF.DE,DAXGL.CH.AL.EN+ENV.PR.USD,GER
^NQNA2000CADN,NASDAQ N America Inds CAD NTR I,NIM
^NQEMEU3300CAD,NASDAQ EM Europe Auto & Parts C,NIM
^YHOH800,^YHOH800,None
SFC12T.SW,SBI For Corp AAA-AA T,EBS
^NQUSB3747AUDN,NQ US Bnchmk Toys AUD NTR Index,NIM
^NQDMASPA2300LMN,NASDAQ DM ASPA Constr & Matls L,NIM
^NQASPA2300AUD,NASDAQ ASPA Constr & Matls AUD,NIM
^NQDMASIA1700LMN,NASDAQ DM Asia Basic Resources,NIM
^NQLA7000CAD,NASDAQ Lat America Utilities CA,NIM
^NQPLLMAUDT,NASDAQ Poland Large Mid Cap AUD,NIM
^NQCI3ACER,NASDAQ Commodity 3rd Front Agri,NIM
^NQZA8000LMJPYN,NASDAQ South Africa Financials,NIM
^NQNAMCAUD,NASDAQ N America Mid Cap AUD In,NIM
^DJAU,Dow Jones Australia Index,DJI
^SPAU23,S&P Pan Asia BMI Real Estate (U,SNP
^NQDMASPASCCADT,NASDAQ DM ASPA Small Cap CAD TR,NIM
^NQEM0001AUDN,NASDAQ Emerging Oil & Gas AUD N,NIM
^NQLA3000LMEUR,NASDAQ Lat Am Cnsmr Goods Lg Md,NIM
^NQAT8000N,The NASDAQ Austria Financials I,NIM
^NQUSS5370AUDN,NQ US Sm Cap General Rtlrs AUD,NIM
^NQZASCGBPN,NASDAQ South Africa Small Cap G,NIM
^NQNA1000LMJPY,NASDAQ N America Basic Matls Lg,NIM
^DJCIAC,Dow Jones Commodity Index All C,DJI
^NQDMASPA8300N,The NASDAQ DM ASPA Banks Indexe,NIM
3BQ6.DE,DAXGL CHINA EUR P,GER
^DJCIAWT,Dow Jones Commodity Index All W,DJI
^SP500-30202010,S&P 500 Agricultural Products (,SNP
D1AH.DE,ENTRY ALL SHS IND P,GER
^NQEMASIA5700CADN,NASDAQ EM Asia Travel & Leisure,NIM
^NQNA2700LMJPY,NASDAQ N America Ind Goods&Svcs,NIM
^NQNA1000EURT,NASDAQ N America Basic Matls EU,NIM
D8TZ.DE,INAVISHPPLETCCHF,GER
^NQEMASIA4000T,The NASDAQ EM Asia Health Care,NIM
^NQUSL8600AUDN,NQ US Lg Cap Real Estate AUD NT,NIM
^NQEU3300GBP,NASDAQ Europe Auto & Parts GBP,NIM
^NQLA3000LMGBPT,NASDAQ Lat Am Cnsmr Goods Lg Md,NIM
^NQID3000AUDN,NASDAQ Indonesia Cnsmr Goods AU,NIM
^NQEMASIA2300N,The NASDAQ EM Asia Construction,NIM
^NQUSB5751LMGBPT,NQ US Airlines Large Mid Cap G,NIM
^NQDMMEA8300AUD,NASDAQ DM MEA Banks AUD Index,NIM
^NQDMASIA3500EUR,NASDAQ DM Asia Food & Beverage,NIM
4NAD.DE,DAXSUB ALL WATR P,GER
^NQLASC,The NASDAQ Latin America Small,NIM
^NQPTLMAUDT,NASDAQ Portugal Large Mid Cap A,NIM
^NQASIA2000LMGBPT,NASDAQ Asia Inds Large Mid Cap,NIM
SFA57T.SW,SBI For AAA-A 5-7 T,EBS
^NQASPA3700EURT,NASDAQ ASPA Psnl & Hhld Goods E,NIM
^NQUSB9535LMAUD,NQ US Internet Large Mid Cap A,NIM
^NQDMEU9000AUDN,NASDAQ DM Europe Tech AUD NTR I,NIM
^NQZALCZAR,NASDAQ South Africa Large Cap Z,NIM
^NQDMASIA6000JPYT,NASDAQ DM Asia Telecom JPY TR I,NIM
0JGR.DE,INAVISMSCIEUSDHCHF,GER
^NQASPASCAUD,NASDAQ ASPA Small Cap AUD Index,NIM
^NQAU8000EURT,NASDAQ Australia Financials EUR,NIM
^NQEMASIA2700EURT,NASDAQ EM Asia Ind Goods & Svcs,NIM
^NQEMASIAMCGBPN,NASDAQ EM Asia Mid Cap GBP NTR,NIM
^NQDMXUS2000AUDT,NASDAQ DM Ex US Industrials AUD,NIM
AW01.FGI,FTSE All World Index,FGI
^NQJP8300AUD,NASDAQ Japan Banks AUD Index,NIM
^NQDMASIA9000LM,NASDAQ DM Asia Tech Large Mid C,NIM
4MYJ.DE,INAV IS.MSC.FEXJSC ETF LS,GER
^P1SUSTR,Dow Jones Sustainability Asia P,DJI
^NQASPA1700LMGBPN,NASDAQ ASPA Basic Resources Lg,NIM
^NQDMASPA3700AUDN,NASDAQ DM ASPA Psnl & Hhld Good,NIM
^NQUSS3300AUD,NQ US Sm Cap Auto & Parts AUD I,NIM
3BR2.DE,DAXGL CH FS USD P,GER
^NQDMASIA1000GBP,NASDAQ DM Asia Basic Matls GBP,NIM
^NQASPA1000EUR,NASDAQ ASPA Basic Matls EUR Ind,NIM
^NQEMASIA2700CADT,NASDAQ EM Asia Ind Goods & Svcs,NIM
^NQMEA3500AUDN,NASDAQ MEA Food & Beverage AUD,NIM
SFS12D.SW,SBI For Sup AAA-AA D,EBS
^NQNA3000LMGBPT,NASDAQ N America Cnsmr Goods Lg,NIM
^NQCNMCAUD,NASDAQ China Mid Cap AUD Index,NIM
^NQUSS2795EURT,NQ US Sm Cap Financial Admin EU,NIM
^NQJP3300LMCADT,NASDAQ Japan Auto & Parts Lg Md,NIM
^DJNAJO,Dow Jones North America Select,DJI
SFF55Y.SW,SBI For AAA-AA 15+ Y,EBS
^NQEMASIA3500GBP,NASDAQ EM Asia Food & Beverage,NIM
^NQPTSCAUDN,NASDAQ Portugal Small Cap AUD N,NIM
ICE9U.PA,AMUNDI CE9U INAV,PAR
^NQEM0001AUDT,NASDAQ Emerging Oil & Gas AUD T,NIM
^NQDMASPA8000GBP,NASDAQ DM ASPA Financials GBP I,NIM
^NQNO3000AUDN,NASDAQ Norway Cnsmr Goods AUD N,NIM
SD105P.SW,SBI Dom AAA-BBB 10-15 P,EBS
^NQZA3000ZAR,NASDAQ South Africa Cnsmr Goods,NIM
AEXLR.AS,AEX LOW RISK,AMS
^NQUSB8570AUD,NQ US Bnchmk Life Ins AUD Index,NIM
^NQAU5000CAD,NASDAQ Australia Cnsmr Svcs CAD,NIM
^NQTR8000AUD,NASDAQ Turkey Financials AUD In,NIM
^NQUSS3726AUD,NQ US Sm Cap Furnishings AUD In,NIM
^NQBRIC4000AUD,NASDAQ BRIC Health Care AUD Ind,NIM
^NQUSS8530AUDT,NQ US Sm Cap Nonlife Ins AUD TR,NIM
2694.DE,HSBC MSCI EM INAV EUR,GER
^NQDMASIA9000LMN,NASDAQ DM Asia Tech Large Mid C,NIM
^NQMEA5700AUDT,NASDAQ MEA Travel & Leisure AUD,NIM
^NQDMASIA2000EURN,NASDAQ DM Asia Inds EUR NTR Ind,NIM
^NQAU2000EUR,NASDAQ Australia Inds EUR Index,NIM
^NQEMEA2700AUDT,NASDAQ EMEA Ind Goods & Svcs AU,NIM
^NQEMEU8600AUD,NASDAQ EM Europe Real Estate AU,NIM
^NQLA2000LMJPYN,NASDAQ Lat America Inds Lg Md C,NIM
^NQHK4000AUD,NASDAQ Hong Kong Health Care AU,NIM
^NQDMASIA3500EURN,NASDAQ DM Asia Food & Beverage,NIM
^DWSGAXTR,^DWSGAXTR,SNP
^NQNA6000LMAUDT,NASDAQ N America Telecom Lg Md,NIM
^NQDMEU1000AUDT,NASDAQ DM Europe Basic Matls AU,NIM
^NQUSB7530AUDT,NQ US Bnchmk Eltrcty AUD TR Ind,NIM
SD51P.SW,SBI Dom AAA-BBB 5-10 P,EBS
^SPADFP1I,S&P Australian Dollar Futures 1,SNP
^NQUSAJPY,NASDAQ US All Market JPY Index,NIM
G30C.NZ,S&P/NZX ALL CONSUMER STAPLES (S,NZE
SBF34T.SW,SBI For A-BBB T,EBS
NLTEC.AS,AEX TECHNOLOGY,AMS
ST35Y.SW,SBI AAA-BBB 3-5 Y,EBS
^NQUSS2713GBP,NQ US Sm Cap Aerospace GBP Inde,NIM
^BKCNCHTR,BNY Mellon China Select ADR Tot,SNP
SDNAD.SW,SBI Dom Non-Gov AAA-A D,EBS
^NQUSL8570AUD,NQ US Lg Cap Life Ins AUD Index,NIM
^NQUSB8771LMEURN,NQ US Asset Managers Large Mid,NIM
^NQUSL2713CADN,NQ US Lg Cap Aerospace CAD NTR,NIM
^NQEMASIA3700T,The NASDAQ EM Asia Personal & H,NIM
3BPK.DE,INAV DBXT LPX CHF,GER
^BKAUT,BNY Mellon Australia ADR Total,SNP
7DXU.DE,HSBC FT100 INAV USD,GER
^NQASPAXJPLMJPYT,NASDAQ ASPA Ex Japan Large Mid,NIM
^NQEMASIA8700LMN,NASDAQ EM Asia Financial Svcs L,NIM
^NQTW3000AUDN,NASDAQ Taiwan Cnsmr Goods AUD N,NIM
^NQTR3000AUDT,NASDAQ Turkey Cnsmr Goods AUD T,NIM
^NQCNAUDT,NASDAQ China AUD TR Index,NIM
^NQDMASPA1000N,The NASDAQ DM ASPA Basic Materi,NIM
^NQUSL2750AUD,NQ US Lg Cap Ind Engineering AU,NIM
^NQES2000AUD,NASDAQ Spain Inds AUD Index,NIM
^NQNA8500N,The NASDAQ North America Insura,NIM
^NQEMASIA2300LMT,NASDAQ EM Asia Constr & Matls L,NIM
^RAPJUSD,Russell Asia Pacific ex-Japan,WCB
^NQUSL8675AUDT,NQ US Lg Cap Specialty REITs AU,NIM
SBD12D.SW,SBI Dom AAA-AA D,EBS
^NQASPA5000LMGBPN,NASDAQ ASPA Cnsmr Svcs Large Mi,NIM
^NQZA3000,The NASDAQ South Africa Consume,NIM
^NQATMCCADN,NASDAQ Austria Mid Cap CAD NTR,NIM
^SPBDAGTT,S&P/ASX Australian Government B,SNP
^NQNA3000,The NASDAQ North America Consum,NIM
^SIXYTR,Syntax Consumer Products and Se,NYS
^NQUSL9578AUD,NQ US Lg Cap Telecom Eqpt AUD I,NIM
4Q88.DE,INAVISHUKG0-5YRUUSD,GER
^NQMY7000AUDT,NASDAQ Malaysia Utilities AUD T,NIM
^DWCALU,Dow Jones U.S. Aluminum Total S,DJI
AL83.DE,INAV MSCI SCAPEUR,GER
DT5Y.DE,INAVDBXES50FU EUR,GER
^NQEMEU5000AUDN,NASDAQ EM Europe Cnsmr Svcs AUD,NIM
^NQJP4000AUDT,NASDAQ Japan Health Care AUD TR,NIM
^NQNA5000EURN,NASDAQ N America Cnsmr Svcs EUR,NIM
^NQBR8000AUDN,NASDAQ Brazil Financials AUD NT,NIM
^NQDMASPA4000EUR,NASDAQ DM ASPA Health Care EUR,NIM
^NQSGAUDT,NASDAQ Singapore AUD TR Index,NIM
^NQUSS5555AUDT,NQ US Sm Cap Media Agncs AUD TR,NIM
^NQUSB5555GBPT,NQ US Bnchmk Media Agncs GBP TR,NIM
^NQCASCAUD,NASDAQ Canada Small Cap AUD Ind,NIM
SFC14Y.SW,SBI For Corp AAA-BBB Y,EBS
ST171Y.SW,SBI AAA 7-10 Y,EBS
^NQAULCGBPT,NASDAQ Australia Large Cap GBP,NIM
^NQUSL2795GBP,NQ US Lg Cap Financial Admin GB,NIM
^NQUSS2700AUDN,NQ US Sm Cap Ind Goods & Svcs A,NIM
DF28.DE,INAVISHFIGOVBDUCHF,GER
^B50ADRT,Dow Jones BRIC 50 All DR Total,DJI
SDA15D.SW,SBI Dom AAA-A 1-5 D,EBS
4N9U.DE,DAXSUB ALL RETI P,GER
^NQKRSCAUDT,NASDAQ Korea Small Cap AUD TR I,NIM
^NQUSS5751AUDN,NQ US Sm Cap Airlines AUD NTR I,NIM
D1A8.DE,DAXPLUS PROTECTIVE PUT PR,GER
^NQDMEU9000AUDT,NASDAQ DM Europe Tech AUD TR In,NIM
^FIRSTNORTHNOK,First North All-Share NOK,NIM
^NQZASCGBP,NASDAQ South Africa Small Cap G,NIM
^NQLA4000CAD,NASDAQ Lat America Health Care,NIM
^NQPHAUD,NASDAQ Philippines AUD Index,NIM
^NQNAEUR,NASDAQ N America EUR Index,NIM
^NQGBAUDT,NASDAQ UK AUD TR Index,NIM
^RAESGDN,Russell Australia ESG High Divi,WCB
3BLU.DE,IN.IS.FTSE 250 EO,GER
^NQNA3500AUDT,NASDAQ N America Food & Beverag,NIM
^NQEMASIA8000EUR,NASDAQ EM Asia Financials EUR I,NIM
4QCE.DE,INAVISHEMMARSCEU,GER
^NQASPA3300EUR,NASDAQ ASPA Auto & Parts EUR In,NIM
^NQUSB2713GBPT,NQ US Bnchmk Aerospace GBP TR I,NIM
4NAR.DE,SHORTDAX X4 ST I EU,GER
5EDS.DE,INAVISMSCIEUUAGBP,GER
^NQDMASPA6000T,The NASDAQ DM ASPA Telecommunic,NIM
LZS5.DE,INAV DBX MSCI JAPAN USD,GER
SFG5D.SW,SBI FOR GOV AAA-A 5+ D,EBS
X2D6.DE,INAV CSFCHA50 GBP,GER
^UKDATR,Mergent UK Dividend Achievers I,NIM
^NQNA3000LMJPYN,NASDAQ N America Cnsmr Goods Lg,NIM
^NQUSS5555AUDN,NQ US Sm Cap Media Agncs AUD NT,NIM
X22M.DE,INAV ISH GHYCBCHGB,GER
^NQEMMEA4000AUD,NASDAQ EM MEA Health Care AUD I,NIM
^NQASPA2700LM,NASDAQ ASPA Ind Goods & Svcs Lg,NIM
^NQCO8000AUDN,NASDAQ Colombia Financials AUD,NIM
^NQNA1700JPYN,NASDAQ N America Basic Resource,NIM
^NQUSS2713EUR,NQ US Sm Cap Aerospace EUR Inde,NIM
^NQNA1700LMCADT,NASDAQ N America Basic Resource,NIM
^NQDMASIA5700LMT,NASDAQ DM Asia Travel & Leisure,NIM
^NQAU6000AUD,NASDAQ Australia Telecom AUD In,NIM
^NQKRLCAUDT,NASDAQ Korea Large Cap AUD TR I,NIM
^NQUSS0001AUD,NQ US Sm Cap Oil & Gas AUD Inde,NIM
^DAAXJPHKDN,NASDAQ Asia ex Japan Dividend A,NIM
^NQASPAMCEURT,NASDAQ ASPA Mid Cap EUR TR Inde,NIM
^NQEMASIA8500N,The NASDAQ EM Asia Insurance In,NIM
^NQDMASPA8600LMN,NASDAQ DM ASPA Real Estate Larg,NIM
3BVU.DE,DAXGL.EMER.11 SH.TR.EUR,GER
^NQEURO3000AUD,NASDAQ Eurozone Cnsmr Goods AUD,NIM
^NQEMEAMCAUDN,NASDAQ EMEA Mid Cap AUD NTR Ind,NIM
^NQXAUAGR,Nasdaq Gbl Ex-Australia Agricul,NIM
^NQNA0001GBPT,NASDAQ N America Oil & Gas GBP,NIM
^NQDMXNA,The NASDAQ DM Ex North America,NIM
^NQEMASIA4000LMAU,NASDAQ EM Asia Health Care Lg M,NIM
^NQNA8300LMCADT,NASDAQ N America Banks Large Mi,NIM
5DBK.DE,INAV DEKA MSCI JAPAN EUR,GER
^NQATEUR,NASDAQ Austria EUR Index,NIM
^NQDM5300AUD,NASDAQ Developed Retail AUD Ind,NIM
XEFA.DE,DAXGLOBAL E11 EUR K,GER
